,Account_Name,Opportunity_Name,Total_Amount,diferencia_en_dias,Quote_Expiry_DOY,Planned_Delivery_End_DOY,Target
237,1499,6004,119800.0,314,55.0,,1
238,1363,9111,492468.75,314,57.0,148.0,0
239,1268,3252,67076.1,18,363.0,30.0,0
240,971,2925,3025.05,64,358.0,356.0,1
241,394,8250,18900.0,0,19.0,358.0,1
242,771,1517,0.0,640,86.0,181.0,0
243,771,1518,205092.8,310,86.0,273.0,0
244,771,1520,43605000.0,97,86.0,365.0,0
245,1335,2427,741.75,355,,282.0,0
246,38,6946,130536.0,310,23.0,181.0,0
247,38,6947,0.0,640,86.0,273.0,0
248,212,7698,63273.0,36,90.0,25.0,1
249,1268,3250,147825.0,22,5.0,24.0,1
250,663,7618,74100.0,0,357.0,23.0,1
251,1489,5965,77512.5,17,358.0,20.0,0
252,1444,4293,45375.0,22,37.0,52.0,1
253,859,7898,564480.0,1,357.0,364.0,1
254,1614,8948,94640.0,1,31.0,347.0,1
255,859,7896,200200.0,1,357.0,13.0,1
256,1254,1421,16601760.0,0,90.0,27.0,1
257,859,7897,11960000.0,0,366.0,13.0,1
258,394,8251,56983.5,1,22.0,356.0,1
259,1027,2150,34804200.0,207,,120.0,0
260,806,7569,3618756.0,183,93.0,334.0,0
261,547,1746,14773.5,1,22.0,365.0,1
262,859,7907,19506250.0,0,366.0,27.0,1
263,859,7909,46125000.0,0,366.0,34.0,1
264,1192,4956,3880800.0,4,361.0,31.0,1
265,773,3578,1800678.6,279,304.0,365.0,0
266,472,534,57172.5,68,90.0,15.0,0
267,388,153,117600.0,6,90.0,62.0,1
268,388,151,117600.0,1,90.0,23.0,1
269,388,155,117600.0,1,90.0,13.0,1
270,388,156,117600.0,1,90.0,79.0,1
271,388,157,105840.0,125,90.0,90.0,1
272,388,152,117600.0,1,90.0,27.0,1
273,388,158,117600.0,6,90.0,89.0,1
274,388,159,117600.0,5,90.0,83.0,1
275,388,160,105840.0,138,90.0,105.0,1
276,388,161,105840.0,125,90.0,90.0,1
277,388,162,105840.0,99,90.0,106.0,1
278,709,1255,391035.45,193,90.0,46.0,1
279,681,1200,255934.35,12,,31.0,1
280,916,1638,1801800.0,643,9.0,31.0,0
281,916,1634,5391720.0,643,9.0,31.0,0
282,1074,4707,875140.0,1,358.0,365.0,0
283,143,7327,364624.05,120,59.0,142.0,0
284,971,3146,27858.6,60,27.0,363.0,1
285,1009,3307,436800.0,172,,34.0,0
286,450,3024,4830680.0,37,362.0,32.0,1
287,450,3035,4881680.0,199,362.0,212.0,0
288,771,1278,399600.0,1,362.0,11.0,1
289,771,5822,5359400.0,1,362.0,25.0,1
290,771,3586,4985400.0,1,362.0,27.0,1
291,859,7914,3917760.0,0,90.0,32.0,1
292,450,3160,4532650.0,1,363.0,40.0,1
293,885,1941,428968.75,38,34.0,48.0,1
294,865,5281,56100.0,8,26.0,27.0,1
295,79,6962,3777197.03,75,90.0,230.0,0
296,694,8731,2884.35,1,28.0,365.0,1
297,694,8730,57400.0,14,28.0,20.0,0
298,394,8696,12600.0,1,28.0,365.0,1
299,708,1236,15750.0,176,27.0,6.0,1
300,480,8210,3880.0,6,365.0,5.0,1
301,1132,5998,5740.0,526,35.0,27.0,1
302,982,3934,84000.0,333,33.0,13.0,1
303,1190,1506,83741.25,402,3.0,6.0,1
304,115,4102,288717.5,632,31.0,90.0,1
305,911,6221,235659.38,632,32.0,41.0,1
306,1613,6115,65812.5,401,256.0,68.0,1
307,1031,6554,240555.0,429,180.0,82.0,0
308,362,9777,206976.0,401,90.0,35.0,1
309,362,9749,103488.0,401,90.0,35.0,1
310,362,9778,206976.0,401,90.0,35.0,1
311,358,20,2870.0,522,35.0,20.0,1
312,1096,8961,18345.6,400,90.0,31.0,1
313,526,5136,3793563.75,400,185.0,268.0,0
314,1257,1653,35100.0,400,35.0,146.0,0
315,1571,8840,135739.8,400,35.0,334.0,0
316,247,3419,1038312.0,399,151.0,247.0,1
317,1273,5419,296131.5,399,121.0,181.0,0
318,128,7160,762409.2,399,62.0,181.0,0
319,254,1755,15146617.5,399,36.0,251.0,0
320,254,2622,2447089.58,399,36.0,181.0,0
321,254,2624,2480650.2,399,36.0,181.0,0
322,859,7921,9800000.0,399,90.0,34.0,1
323,859,7925,9100000.0,399,90.0,34.0,1
324,859,7926,368050.0,399,48.0,18.0,1
325,771,1690,970000.0,399,6.0,11.0,1
326,859,7927,705600.0,399,90.0,16.0,1
327,175,7432,1688343.75,399,121.0,275.0,1
328,1414,2201,86822.4,399,31.0,31.0,1
329,707,1360,82320.0,399,9.0,72.0,1
330,707,1357,82320.0,399,114.0,136.0,1
331,1220,3306,375375.0,399,,104.0,0
332,1217,9035,146578.13,57,90.0,100.0,0
333,241,4363,80587.5,399,9.0,10.0,1
334,299,5748,352101.75,554,42.0,34.0,1
335,971,2927,11961.6,398,36.0,9.0,1
336,971,2929,2954.7,398,36.0,9.0,1
337,299,586,522000.0,553,,55.0,0
338,1192,6911,594800.0,398,,13.0,0
339,450,3358,711360.0,398,10.0,20.0,1
340,859,7960,788480.0,398,90.0,25.0,1
341,859,7961,1128960.0,398,90.0,27.0,1
342,1192,4957,5535600.0,398,10.0,18.0,1
343,859,7968,18200000.0,398,90.0,49.0,1
344,1428,3278,357750.0,398,90.0,170.0,0
345,303,9015,1888053.3,398,31.0,216.0,1
346,990,3968,81480.0,398,10.0,51.0,1
347,971,2928,3165.75,397,40.0,10.0,1
348,87,7000,3851451.45,397,31.0,90.0,0
349,1356,5494,431971.2,396,54.0,305.0,0
350,1397,5670,46027.5,395,31.0,41.0,1
351,1477,5911,114529.8,395,90.0,27.0,1
352,603,1015,86100.0,395,40.0,31.0,1
353,1284,7101,10801440.0,395,,167.0,0
354,904,4621,386646.75,394,59.0,51.0,1
355,859,7880,223500.0,394,12.0,10.0,1
356,1192,2341,4474000.0,394,17.0,51.0,0
357,1192,2348,4474000.0,394,12.0,51.0,0
358,1192,2356,4474000.0,394,12.0,51.0,0
359,987,1533,138450.0,394,97.0,145.0,0
360,1192,2369,4474000.0,394,19.0,51.0,1
361,1192,2361,4474000.0,394,12.0,44.0,0
362,1192,2432,4474000.0,394,19.0,20.0,1
363,1190,4807,687300.0,394,90.0,362.0,0
364,1323,5788,22505625.0,624,120.0,243.0,0
365,241,4362,81900.0,394,18.0,19.0,1
366,1062,4370,60840.0,394,82.0,129.0,1
367,455,7645,4022285.0,394,338.0,26.0,0
368,1220,4996,249562.5,393,46.0,55.0,1
369,176,7437,85053.15,393,13.0,23.0,1
370,176,7438,51266.25,393,13.0,23.0,1
371,1186,2224,3791190.06,393,93.0,118.0,0
372,1186,2226,6644612.52,393,188.0,209.0,0
373,1186,2228,6829038.72,393,188.0,272.0,0
374,821,1728,7782442.92,393,184.0,202.0,0
375,1192,2397,3592000.0,393,12.0,51.0,0
376,1192,2413,4474000.0,393,12.0,51.0,0
377,1192,2379,4533000.0,393,19.0,20.0,0
378,1192,2311,4533000.0,393,12.0,51.0,0
379,1192,2453,3614000.0,393,12.0,69.0,0
380,62,1534,150150.0,393,26.0,87.0,0
381,1571,9137,103477.5,393,55.0,334.0,0
382,603,4856,271012.5,393,54.0,328.0,0
383,1240,4896,75930.0,393,16.0,30.0,1
384,1268,3246,288600.0,392,56.0,82.0,0
385,582,6601,10752.0,392,42.0,31.0,1
386,349,9693,743989.05,392,90.0,48.0,0
387,1190,1695,149850.0,392,182.0,182.0,1
388,1268,3249,78375.0,392,31.0,23.0,1
389,1198,7487,3793563.75,392,151.0,268.0,0
390,460,6903,594800.0,392,12.0,13.0,1
391,991,8934,2841.3,392,18.0,146.0,1
392,373,8985,4563562.5,392,111.0,272.0,0
393,1368,7940,21773500.0,391,31.0,60.0,1
394,1368,7941,20405000.0,391,31.0,62.0,1
395,1030,1601,73631.25,391,54.0,,0
396,1220,5576,138600.0,391,,300.0,0
397,1129,4504,1678696.4300000004,551,,41.0,0
398,115,3272,287525.0,621,31.0,69.0,1
399,295,6945,142642.5,391,27.0,151.0,0
400,764,2541,62899.2,512,,27.0,0
401,764,3680,368471.04,512,,41.0,0
402,859,7962,5247000.0,388,90.0,37.0,1
403,859,7963,2912000.0,388,90.0,48.0,1
404,859,7967,9237500.0,388,90.0,32.0,1
405,1131,5293,208477.5,598,59.0,120.0,1
406,996,1575,17640.0,388,59.0,59.0,0
407,460,6923,672400.0,388,16.0,27.0,1
408,771,1382,347400.0,388,16.0,19.0,1
409,175,9147,3703700.0,388,46.0,118.0,0
410,1220,324,129461.25,388,,146.0,0
411,693,9345,4380547.5,388,32.0,89.0,0
412,693,9429,2959852.0,388,32.0,139.0,0
413,990,4628,223965.0,388,47.0,93.0,0
414,1301,4730,760760.0,388,55.0,76.0,0
415,936,1795,6300540.0,388,,118.0,0
416,1348,1636,1899924.0,388,,74.0,0
417,728,7379,4400.0,387,19.0,17.0,1
418,1192,2481,4474000.0,387,17.0,51.0,0
419,1192,2471,4533000.0,387,17.0,51.0,0
420,1192,2478,3592000.0,387,62.0,51.0,1
421,911,5333,549871.88,617,53.0,59.0,1
422,895,4007,269700.0,387,90.0,55.0,1
423,911,6744,314212.5,617,59.0,90.0,1
424,932,5647,3019500.0,617,75.0,181.0,0
425,1109,4539,34503795.0,387,,356.0,0
426,1220,4182,556687.5,387,151.0,349.0,0
427,101,7171,151593.75,387,23.0,33.0,1
428,1071,9629,25042.5,386,59.0,184.0,0
429,859,7928,752640.0,386,90.0,27.0,1
430,859,7970,188160.0,386,90.0,41.0,1
431,866,9249,272250.0,412,24.0,162.0,0
432,1268,3211,347552.1,386,55.0,118.0,0
433,1268,3236,151515.0,386,132.0,151.0,0
434,1543,9391,67256.25,385,,89.0,0
435,408,382,13840712.76,385,31.0,59.0,1
436,660,1135,357840.0,385,59.0,46.0,1
437,633,1059,2221753.8,385,118.0,172.0,0
438,534,7382,1779609.3,506,62.0,237.0,0
439,807,1818,1547017.5,385,62.0,212.0,0
440,895,2882,591600.0,385,90.0,55.0,1
441,1192,2386,4533000.0,385,19.0,20.0,1
442,555,805,84823.2,385,59.0,31.0,1
443,1133,8016,3141.6,385,59.0,25.0,1
444,1133,2823,10684.8,385,59.0,27.0,0
445,450,3309,2371200.0,385,23.0,46.0,1
446,1192,2360,4474000.0,385,20.0,44.0,1
447,1192,2318,4474000.0,385,20.0,44.0,1
448,1192,2327,4474000.0,385,20.0,44.0,1
449,1192,2335,4474000.0,385,20.0,51.0,1
450,1192,2406,3592000.0,385,20.0,51.0,1
451,1192,2421,4474000.0,385,20.0,51.0,1
452,1192,2423,4533000.0,385,20.0,51.0,1
453,1192,2442,3614000.0,385,20.0,51.0,1
454,1192,2477,4474000.0,385,20.0,51.0,1
455,1192,2462,4533000.0,385,19.0,51.0,1
456,214,8005,2392500.0,385,67.0,93.0,1
457,669,1165,53222.4,385,90.0,41.0,1
458,1220,5820,269730.0,385,76.0,181.0,0
459,1363,21,24062.5,385,,83.0,0
460,1454,4330,949620.0,385,34.0,139.0,0
461,684,3858,3501312.5,385,34.0,118.0,0
462,971,2931,81200.0,384,50.0,86.0,1
463,971,2930,2814.0,384,50.0,23.0,1
464,971,2933,81200.0,384,53.0,44.0,1
465,971,2932,2111200.0,384,53.0,86.0,1
466,971,2934,243600.0,384,53.0,79.0,1
467,708,1237,6300.0,384,50.0,26.0,1
468,1517,8886,154526.4,384,50.0,107.0,0
469,771,1522,26474560.0,384,23.0,181.0,0
470,771,1523,54027000.0,384,,273.0,0
471,771,1519,121.8,609,86.0,365.0,0
472,241,9396,78445.0,384,27.0,27.0,1
473,895,4018,3943200.0,384,90.0,67.0,1
474,895,4029,3943200.0,384,90.0,61.0,1
475,1477,5897,515384.1,384,90.0,44.0,1
476,547,1919,65520.0,384,,90.0,0
477,1233,485,445480.0,383,53.0,268.0,0
478,1460,4472,929994.0,381,,319.0,0
479,771,6440,441700.0,381,23.0,27.0,1
480,906,7362,2352000.0,381,51.0,39.0,1
481,115,3580,287525.0,611,31.0,111.0,0
482,859,7976,9100000.0,381,90.0,80.0,1
483,1089,4493,457134.3,381,120.0,151.0,0
484,1056,4332,1240646.4,381,90.0,59.0,1
485,1272,5158,1884420.0,583,194.0,285.0,0
486,1279,9374,82290.0,380,54.0,55.0,1
487,1279,9017,913412.5,380,54.0,145.0,0
488,728,9593,483200.0,380,24.0,34.0,1
489,728,9594,1112880.0,380,24.0,40.0,1
490,450,3544,533960.0,380,33.0,59.0,1
491,450,3532,527660.0,380,33.0,59.0,1
492,709,1264,1818142.2,380,90.0,55.0,1
493,987,9388,148350.0,380,54.0,55.0,1
494,1262,1590,157106.25,610,31.0,31.0,1
495,987,5800,369630.0,380,81.0,174.0,0
496,69,6873,41999989.5,380,,31.0,0
497,64,3340,41999989.5,380,,31.0,0
498,981,6292,20250108.0,380,90.0,180.0,0
499,699,2842,41999989.5,380,,31.0,0
500,1197,5122,56441.7,380,54.0,59.0,0
501,981,2029,19134450.0,380,59.0,88.0,0
502,886,1933,40219000.0,380,59.0,151.0,0
503,981,5993,7014072.87,380,181.0,267.0,0
504,787,1150,39900.0,379,59.0,69.0,1
505,1186,2206,7642612.95,379,135.0,304.0,0
506,1186,2221,6843420.0,379,135.0,230.0,0
507,1186,2220,11134323.0,379,135.0,258.0,0
508,1186,2231,939802.5,379,135.0,258.0,0
509,1186,2230,9121455.0,379,135.0,322.0,0
510,450,3366,770640.0,379,25.0,38.0,1
511,450,3373,385320.0,379,25.0,44.0,1
512,121,718,2189901.45,379,90.0,273.0,0
513,939,1906,244530.0,379,81.0,187.0,1
514,939,5823,157012.5,379,54.0,104.0,1
515,939,7632,302100.0,379,54.0,125.0,0
516,299,7468,5028870.0,534,105.0,219.0,0
517,188,7484,18083520.0,379,,335.0,0
518,254,5341,10065653.85,378,,90.0,0
519,62,9062,57557.5,378,48.0,,0
520,62,9066,75075.0,378,48.0,83.0,0
521,62,9070,165900.0,378,48.0,144.0,0
522,663,9081,139612.5,378,49.0,82.0,0
523,632,6654,1759629.38,378,,41.0,0
524,1069,2805,204050.0,378,,68.0,0
525,771,6289,484400.0,378,27.0,34.0,1
526,771,6088,803000.0,378,27.0,34.0,1
527,771,6087,928200.0,378,27.0,34.0,1
528,989,3157,75218.75,36,86.0,89.0,0
529,241,4425,74872.5,378,57.0,55.0,1
530,394,1425,582322.13,378,65.0,90.0,1
531,916,4094,18761438.14,607,46.0,181.0,0
532,771,1908,527400.0,377,33.0,39.0,1
533,450,3175,3712480.0,377,86.0,97.0,1
534,450,3165,396480.0,377,33.0,34.0,1
535,771,2045,399600.0,377,33.0,44.0,1
536,1006,9119,2341937.5,377,59.0,151.0,0
537,840,5277,2766382.5,377,167.0,288.0,0
538,578,883,1065532.5,377,212.0,242.0,0
539,70,3868,86659980.75,377,274.0,89.0,0
540,603,5801,721500.0,377,,118.0,0
541,1345,9386,71890.0,377,57.0,55.0,1
542,807,4840,1754298.0,377,,160.0,0
543,1021,3810,136300.0,376,69.0,90.0,1
544,708,1238,15750.0,376,60.0,33.0,1
545,888,6653,1782414.0,374,63.0,90.0,1
546,450,3380,385320.0,374,33.0,44.0,1
547,859,7977,9100000.0,374,90.0,51.0,1
548,859,7978,13000000.0,374,90.0,55.0,1
549,859,7969,1911500.0,374,84.0,53.0,1
550,990,352,273780.0,374,60.0,135.0,0
551,62,6007,82950.0,374,48.0,56.0,0
552,1297,4942,1780369.38,597,160.0,216.0,1
553,1268,187,155925.0,374,55.0,89.0,0
554,1356,6257,480516.0,373,105.0,303.0,0
555,795,5042,5850097.5,373,,273.0,0
556,555,810,109620.0,373,90.0,41.0,1
557,555,809,75075.0,373,90.0,41.0,1
558,555,806,91000.0,373,90.0,41.0,1
559,555,808,107730.0,373,90.0,41.0,1
560,555,807,91000.0,373,90.0,41.0,1
561,958,3752,78400.0,373,90.0,59.0,1
562,859,7983,3088800.0,373,90.0,39.0,1
563,1260,333,86240.0,373,46.0,60.0,0
564,831,1745,540639.75,373,59.0,59.0,0
565,944,1449,936438.75,373,46.0,181.0,0
566,1220,5030,78030.0,373,61.0,34.0,1
567,982,3902,243796.88,373,63.0,48.0,1
568,45,6986,99590.4,372,105.0,91.0,0
569,1465,5852,154840.0,372,62.0,58.0,1
570,1495,6334,3638800.0,372,39.0,74.0,1
571,362,9779,206976.0,372,90.0,59.0,1
572,38,2048,4168980.0,372,33.0,135.0,1
573,663,7617,1440000.0,372,81.0,237.0,0
574,663,5785,720720.0,372,48.0,223.0,0
575,279,8899,0.0,372,160.0,167.0,1
576,853,4726,10801665.0,372,68.0,362.0,0
577,1132,331,8820.0,492,63.0,44.0,1
