,Opportunity_ID,Territory,Submitted_for_Approval,Bureaucratic_Code,Billing_Country,Account_Name,Opportunity_Name,Account_Owner,Opportunity_Owner,Account_Type,Quote_Type,Delivery_Terms,Last_Modified_By,Product_Family,Product_Name,ASP_Currency,ASP,ASP_(converted)_Currency,ASP_(converted),TRF,Total_Amount_Currency,Total_Amount,Total_Taxable_Amount,Prod_Category_A,diferencia_en_dias,Last_Modified_DOY,Opportunity_Created_DOY,Opportunity_Created_Year,Quote_Expiry_DOY,Planned_Delivery_Start_DOY,Planned_Delivery_Start_Year,Planned_Delivery_End_DOY,Target
14,14,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,972360.0,5834160.0,0.0006018711113978903,118,96,343,2015-12-09,,60,2016,60.0,0
15,15,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,1144120.0,8008840.0,0.0006018711113978903,118,96,343,2015-12-09,,60,2016,60.0,0
16,16,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,1359040.0,9513280.0,0.0006018711113978903,118,96,343,2015-12-09,,60,2016,60.0,0
17,17,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,486000.0,2430000.0,0.0006018711113978903,28,6,343,2015-12-09,,60,2016,60.0,0
18,18,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,576720.0,3460320.0,0.0006018711113978903,118,96,343,2015-12-09,,60,2016,60.0,0
19,19,0.0,0,0.0,-1.852483881866765e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.55,0.0,0.6221,0.0,-3.950860739997964e-06,259875.0,259875.0,0.0006018711113978903,324,302,343,2015-12-09,357.0,102,2016,106.0,0
20,20,0.0,0,0.0,-1.8645652984876354e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.53,0.0,0.59948,0.0,-3.950860739997964e-06,103350.0,103350.0,0.0006018711113978903,0,343,343,2015-12-09,8.0,18,2016,29.0,1
21,21,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.65,0.0,0.65,5.0,-1.910245071947243e-05,3184974.0,3184974.0,0.0006018711113978903,440,53,344,2015-12-10,,61,2016,91.0,1
22,22,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,243360.0,243360.0,0.0006018711113978903,26,5,344,2015-12-10,5.0,8,2016,8.0,1
23,23,0.0,0,0.0,9.241680583466435e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.55,0.0,0.6221,0.0,-3.950860739997964e-06,214500.0,214500.0,0.0006018711113978903,399,12,344,2015-12-10,349.0,8,2016,12.0,1
24,24,0.0,0,0.0,9.241680583466435e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.55,0.0,0.6221,0.0,-3.950860739997964e-06,214500.0,214500.0,0.0006018711113978903,399,12,344,2015-12-10,350.0,15,2016,19.0,1
25,25,0.0,0,0.0,9.241680583466435e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.515,0.0,0.5825100000000001,3.0,-3.950860739997964e-06,1556587.5,1556587.5,0.0006018711113978903,399,12,344,2015-12-10,356.0,49,2016,55.0,0
26,26,0.0,0,0.0,-1.8645652984876354e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.385,0.0,0.43547,1.0,-3.950860739997964e-06,549780.0,549780.0,0.0006018711113978903,519,133,345,2015-12-11,14.0,93,2017,146.0,0
27,27,0.0,0,0.0,9.241680583466435e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.55,0.0,0.6221,0.0,-3.950860739997964e-06,317625.0,1262250.0,0.0006018711113978903,397,12,346,2015-12-12,349.0,26,2016,29.0,1
28,28,0.0,0,0.0,9.241680583466435e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.55,0.0,0.6221,0.0,-3.950860739997964e-06,429000.0,1716000.0,0.0006018711113978903,397,12,346,2015-12-12,349.0,46,2016,49.0,1
29,29,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.56,0.0,0.56,0.0,-1.910245071947243e-05,3920.0,3920.0,0.0006018711113978903,287,270,348,2015-12-14,31.0,10,2016,31.0,1
30,30,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,-0.0032896665887286267,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.57,0.0,0.57,0.0,-1.910245071947243e-05,7695.0,7695.0,0.0006018711113978903,392,9,348,2015-12-14,31.0,93,2016,182.0,0
31,31,0.0,0,0.0,-1.8645652984876354e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.49,0.0,0.55424,20.0,-3.950860739997964e-06,19874400.0,39748800.0,0.0006018711113978903,7,356,349,2015-12-15,357.0,123,2016,182.0,1
32,32,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.51,0.0,0.57686,1.0,-3.950860739997964e-06,510510.0,510510.0,0.0006018711113978903,97,81,349,2015-12-15,15.0,53,2016,64.0,0
33,33,0.0,0,0.0,9.241680583466435e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.54,0.0,0.6107899999999999,0.0,-3.950860739997964e-06,105300.0,105300.0,0.0006018711113978903,393,12,350,2015-12-16,352.0,19,2016,22.0,0
34,34,0.0,0,0.0,-1.872707505031249e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.54,0.0,0.6107899999999999,1.0,-3.950860739997964e-06,364905.0,364905.0,0.0006018711113978903,68,53,350,2015-12-16,50.0,61,2016,90.0,1
35,35,0.0,0,0.0,-1.8645652984876354e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.34,0.0,0.38457,17.0,-3.950860739997964e-06,5618160.0,5618160.0,0.0006018711113978903,737,356,350,2015-12-16,,92,2018,166.0,0
36,36,0.0,0,0.0,-4.7706239092193865e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.54,0.0,0.6107899999999999,0.0,-3.950860739997964e-06,103950.0,311850.0,0.0006018711113978903,29,15,351,2015-12-17,29.0,18,2016,57.0,1
37,37,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,599880.0,2999400.0,0.0006018711113978903,22,8,351,2015-12-17,,60,2016,60.0,0
38,38,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,1154600.0,6927600.0,0.0006018711113978903,110,96,351,2015-12-17,,60,2016,60.0,0
39,39,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,571800.0,2859000.0,0.0006018711113978903,22,8,351,2015-12-17,,60,2016,60.0,0
40,40,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,1033200.0,6199200.0,0.0006018711113978903,110,96,351,2015-12-17,,60,2016,60.0,0
41,41,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20280.0,20280.0,0.0006018711113978903,223,209,351,2015-12-17,,60,2016,60.0,0
42,42,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,1033200.0,6199200.0,0.0006018711113978903,223,209,351,2015-12-17,,60,2016,60.0,0
43,43,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,1142120.0,7994840.0,0.0006018711113978903,223,209,351,2015-12-17,,60,2016,60.0,0
44,44,0.0,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,78.0,0.0,0.70125,0.0,0.0,470400.0,2352000.0,0.0006018711113978903,110,96,351,2015-12-17,,60,2016,60.0,0
45,45,0.0,0,0.0,-1.8645652984876354e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.49,0.0,0.55424,20.0,-3.950860739997964e-06,9809800.0,9809800.0,0.0006018711113978903,113,99,351,2015-12-17,92.0,122,2016,182.0,0
46,46,0.0,0,0.0,9.241680583466435e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.5,0.0,0.56555,2.0,-3.950860739997964e-06,2106750.0,4213500.0,0.0006018711113978903,391,12,352,2015-12-18,19.0,67,2016,75.0,1
47,47,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.66,0.0,0.66,1.0,-1.910245071947243e-05,629145.0,0.0,0.0006018711113978903,286,273,352,2015-12-18,22.0,137,2016,141.0,0
48,49,0.0006018711113978903,0,0.0,-1.910245071947243e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.56,0.0,0.56,0.0,-1.910245071947243e-05,109760.0,109760.0,0.0006018711113978903,33,20,352,2015-12-18,91.0,39,2016,51.0,1
49,50,0.0,0,0.0,1.0730021951967037e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.52,0.0,0.58817,1.0,-3.950860739997964e-06,304200.0,304200.0,0.0006018711113978903,182,169,352,2015-12-18,121.0,153,2016,182.0,0
50,51,0.0,0,0.0,1.0730021951967037e-06,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.55,0.0,0.6221,1.0,-3.950860739997964e-06,500500.0,500500.0,0.0006018711113978903,115,102,352,2015-12-18,30.0,153,2016,182.0,0
51,52,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.54,0.0,0.54,0.0,-1.910245071947243e-05,17550.0,17550.0,0.0006018711113978903,101,90,354,2015-12-20,91.0,32,2016,46.0,0
52,53,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.535,0.0,0.535,13.0,-1.910245071947243e-05,13438632.899999999,26877265.8,0.0006018711113978903,37,27,355,2015-12-21,182.0,92,2016,121.0,0
53,54,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,72.0,0.0,0.64731,0.0,0.0,12852000.0,12852000.0,0.0006018711113978903,0,355,355,2015-12-21,60.0,18,2016,18.0,1
54,55,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,68.0,0.0,0.61135,0.0,0.0,29478000.0,29478000.0,0.0006018711113978903,0,355,355,2015-12-21,365.0,57,2016,64.0,1
55,56,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,73.0,0.0,0.65522,0.0,0.0,33916530.0,33916530.0,0.0006018711113978903,16,6,355,2015-12-21,55.0,56,2016,91.0,1
56,57,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,72.0,0.0,0.64731,1.0,0.0,37454400.0,37454400.0,0.0006018711113978903,0,355,355,2015-12-21,365.0,56,2016,71.0,1
57,58,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,74.0,0.0,0.6652899999999999,1.0,0.0,37999000.0,37999000.0,0.0006018711113978903,16,6,355,2015-12-21,15.0,53,2016,60.0,1
58,59,0.0006018711113978903,0,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,70.0,0.0,0.6293300000000001,0.0,0.0,28918400.0,57836800.0,0.0006018711113978903,17,7,355,2015-12-21,7.0,50,2016,50.0,1
59,61,0.0,0,0.0,-1.8645652984876354e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.525,0.0,0.59382,0.5,-3.950860739997964e-06,515812.5,1031625.0,0.0006018711113978903,98,89,356,2015-12-22,21.0,60,2016,91.0,0
60,62,0.0,0,0.0,-1.852483881866765e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-3.950860739997964e-06,0.55,0.0,0.6221,0.0,-3.950860739997964e-06,107250.0,107250.0,0.0006018711113978903,311,302,356,2015-12-22,26.0,74,2016,74.0,1
61,63,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.64,0.0,0.64,4.6,-1.910245071947243e-05,14469907.2,72349536.0,0.0006018711113978903,427,53,357,2015-12-23,,336,2016,366.0,0
62,64,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.63,0.0,0.63,1.0,-1.910245071947243e-05,463446.9,463446.9,0.0006018711113978903,273,265,357,2015-12-23,,122,2016,213.0,0
63,65,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.63,0.0,0.63,1.0,-1.910245071947243e-05,463446.9,463446.9,0.0006018711113978903,273,265,357,2015-12-23,,122,2016,213.0,0
64,66,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.63,0.0,0.63,1.0,-1.910245071947243e-05,463446.9,463446.9,0.0006018711113978903,273,265,357,2015-12-23,,122,2016,213.0,0
65,67,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.63,0.0,0.63,1.0,-1.910245071947243e-05,463446.9,463446.9,0.0006018711113978903,273,265,357,2015-12-23,,122,2016,213.0,0
66,68,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.63,0.0,0.63,1.0,-1.910245071947243e-05,463446.9,463446.9,0.0006018711113978903,273,265,357,2015-12-23,,122,2016,213.0,0
67,69,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.63,0.0,0.63,1.0,-1.910245071947243e-05,463446.9,463446.9,0.0006018711113978903,273,265,357,2015-12-23,,122,2016,213.0,0
68,70,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.63,0.0,0.63,1.0,-1.910245071947243e-05,463446.9,463446.9,0.0006018711113978903,273,265,357,2015-12-23,,122,2016,213.0,0
69,71,0.0,0,0.0,-1.9230942540455424e-05,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,0.0,0.0006018711113978903,0.0006018711113978903,0.0006018711113978903,0.0,-1.910245071947243e-05,0.63,0.0,0.63,1.0,-1.910245071947243e-05,463446.9,463446.9,0.0006018711113978903,273,265,357,2015-12-23,,152,2016,213.0,0
