,Opportunity_ID,Items_Count,Region,Territory,"Pricing, Delivery_Terms_Quote_Appr",Bureaucratic_Code_0_Approval,Bureaucratic_Code_0_Approved,Submitted_for_Approval,Bureaucratic_Code,Account_Created_Date,Billing_Country,Account_Name,Opportunity_Name,Account_Owner,Opportunity_Owner,Account_Type,Opportunity_Type,Quote_Type,Delivery_Terms,Currency,Last_Modified_By,Product_Family,Product_Name,ASP_Currency,ASP,ASP_(converted)_Currency,ASP_(converted),Month,Delivery_Quarter,Delivery_Year,TRF,Total_Amount_Currency,Total_Amount,Total_Taxable_Amount_Currency,Total_Taxable_Amount,Prod_Category_A,diferencia_en_dias,Last_Modified_DOY,Last_Modified_Year,Opportunity_Created_DOY,Opportunity_Created_Year,Quote_Expiry_DOY,Quote_Expiry_Year,Planned_Delivery_Start_DOY,Planned_Delivery_Start_Year,Planned_Delivery_End_DOY,Planned_Delivery_End_Year,Target
10,10,5,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_5971,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_6,Product_Name_6,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,579600.0,JPYJPYJPYJPYJPY,2898000.0,Prod_Category_A_None,118,96,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
11,11,1,APAC,India,1,1,1,0,Bureaucratic_Code_4,10/13/2015,India,Account_Name_1147,Opportunity_Name_7036,Person_Name_60,Person_Name_49,Account_Type_2,Opportunity_Type_19,Non Binding,Delivery_Terms_1,None,Person_Name_49,Product_Family_73,Product_Name_84,USD,0.539,,0.539,2016 - 1,Q1,2016,3.0,USD,1621851.0,USD,1621851.0,Prod_Category_A_None,29,7,2016,343,2015-12-09,91.0,2016.0,9,2016,15.0,2016.0,1
12,12,1,APAC,India,1,0,0,0,Bureaucratic_Code_4,12/9/2015,None,Account_Name_423,Opportunity_Name_3858,Person_Name_49,Person_Name_49,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_1,None,Person_Name_49,Product_Family_77,Product_Name_100,USD,0.55,,0.55,2016 - 1,Q1,2016,0.0,USD,221650.0,USD,221650.0,Prod_Category_A_None,112,90,2016,343,2015-12-09,91.0,2016.0,18,2016,31.0,2016.0,0
13,13,6,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_4863,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_4,Product_Name_4,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,1012920.0,JPYJPYJPYJPYJPYJPY,6077520.0,Prod_Category_A_None,118,96,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
14,14,6,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_7004,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_0,Product_Name_0,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,972360.0,JPYJPYJPYJPYJPYJPY,5834160.0,Prod_Category_A_None,118,96,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
15,15,7,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_2353,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_17,Product_Name_17,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,1144120.0,JPYJPYJPYJPYJPYJPYJPY,8008840.0,Prod_Category_A_None,118,96,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
16,16,7,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_2202,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_0,Product_Name_0,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,1359040.0,JPYJPYJPYJPYJPYJPYJPY,9513280.0,Prod_Category_A_None,118,96,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
17,17,5,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_6594,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_6,Product_Name_6,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,486000.0,JPYJPYJPYJPYJPY,2430000.0,Prod_Category_A_None,28,6,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
18,18,6,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_6849,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_14,Product_Name_14,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,576720.0,JPYJPYJPYJPYJPYJPY,3460320.0,Prod_Category_A_None,118,96,2016,343,2015-12-09,,,60,2016,60.0,2016.0,0
19,19,1,EMEA,Italy,1,1,1,0,Bureaucratic_Code_4,7/27/2013,Italy,Account_Name_1067,Opportunity_Name_9078,Person_Name_2,Person_Name_39,Account_Type_0,Opportunity_Type_7,Non Binding,Delivery_Terms_2,None,Person_Name_4,Product_Family_164,Product_Name_310,EUR,0.55,,0.6221,2016 - 4,Q2,2016,0.0,EUR,259875.0,EUR,259875.0,Prod_Category_A_None,324,302,2016,343,2015-12-09,357.0,2015.0,102,2016,106.0,2016.0,0
20,20,1,EMEA,Germany,0,0,0,0,Bureaucratic_Code_4,7/27/2013,Germany,Account_Name_263,Opportunity_Name_4062,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_8,Non Binding,Delivery_Terms_2,None,Person_Name_13,Product_Family_77,Product_Name_100,EUR,0.53,,0.59948,2016 - 1,Q1,2016,0.0,EUR,103350.0,EUR,103350.0,Prod_Category_A_None,0,343,2015,343,2015-12-09,8.0,2016.0,18,2016,29.0,2016.0,1
21,21,1,Americas,NW America,0,0,0,0,Bureaucratic_Code_4,8/22/2013,United States,Account_Name_1662,Opportunity_Name_6397,Person_Name_8,Person_Name_8,Account_Type_5,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_33,Product_Family_80,Product_Name_94,USD,0.65,,0.65,2016 - 3,Q1,2016,5.0,USD,3184974.0,USD,3184974.0,Prod_Category_A_None,440,53,2017,344,2015-12-10,,,61,2016,91.0,2016.0,1
22,22,1,Japan,None,1,0,0,0,Bureaucratic_Code_4,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_5583,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_77,Product_Name_100,JPY,78.0,,0.70125,2016 - 1,Q1,2016,0.0,JPY,243360.0,JPY,243360.0,Prod_Category_A_None,26,5,2016,344,2015-12-10,5.0,2016.0,8,2016,8.0,2016.0,1
23,23,1,EMEA,United Kingdom,0,0,0,0,Bureaucratic_Code_4,1/8/2014,United Kingdom,Account_Name_270,Opportunity_Name_2804,Person_Name_18,Person_Name_18,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_39,Product_Family_77,Product_Name_100,EUR,0.55,,0.6221,2016 - 1,Q1,2016,0.0,EUR,214500.0,EUR,214500.0,Prod_Category_A_None,399,12,2017,344,2015-12-10,349.0,2015.0,8,2016,12.0,2016.0,1
24,24,1,EMEA,United Kingdom,0,0,0,0,Bureaucratic_Code_4,1/8/2014,United Kingdom,Account_Name_270,Opportunity_Name_2801,Person_Name_18,Person_Name_18,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_39,Product_Family_77,Product_Name_100,EUR,0.55,,0.6221,2016 - 1,Q1,2016,0.0,EUR,214500.0,EUR,214500.0,Prod_Category_A_None,399,12,2017,344,2015-12-10,350.0,2015.0,15,2016,19.0,2016.0,1
25,25,1,EMEA,United Kingdom,1,0,0,0,Bureaucratic_Code_4,12/10/2015,United Kingdom,Account_Name_1438,Opportunity_Name_10106,Person_Name_18,Person_Name_18,Account_Type_0,Opportunity_Type_19,Non Binding,Delivery_Terms_2,None,Person_Name_39,Product_Family_77,Product_Name_99,EUR,0.515,,0.5825100000000001,2016 - 2,Q1,2016,3.0,EUR,1556587.5,EUR,1556587.5,Prod_Category_A_None,399,12,2017,344,2015-12-10,356.0,2015.0,49,2016,55.0,2016.0,0
26,26,1,EMEA,Germany,1,1,1,0,Bureaucratic_Code_4,7/27/2013,Germany,Account_Name_533,Opportunity_Name_7191,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_13,Product_Family_115,Product_Name_168,EUR,0.385,,0.43546999999999997,2017 - 4,Q2,2017,1.0,EUR,549780.0,EUR,549780.0,Prod_Category_A_None,519,133,2017,345,2015-12-11,14.0,2016.0,93,2017,146.0,2017.0,0
27,27,3,EMEA,United Kingdom,0,0,0,0,Bureaucratic_Code_4,7/27/2013,United Kingdom,Account_Name_1988,Opportunity_Name_12137,Person_Name_18,Person_Name_18,Account_Type_0,Opportunity_Type_2,Non Binding,Delivery_Terms_2,None,Person_Name_39,Product_Family_77,Product_Name_100,EUR,0.55,,0.6221,2016 - 1,Q1,2016,0.0,EUR,317625.0,EUREUREUR,1262250.0,Prod_Category_A_None,397,12,2017,346,2015-12-12,349.0,2015.0,26,2016,29.0,2016.0,1
28,28,4,EMEA,United Kingdom,0,0,0,0,Bureaucratic_Code_4,7/27/2013,United Kingdom,Account_Name_121,Opportunity_Name_2052,Person_Name_18,Person_Name_18,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_39,Product_Family_77,Product_Name_100,EUR,0.55,,0.6221,2016 - 2,Q1,2016,0.0,EUR,429000.0,EUREUREUREUR,1716000.0,Prod_Category_A_None,397,12,2017,346,2015-12-12,349.0,2015.0,46,2016,49.0,2016.0,1
29,29,1,APAC,India,1,0,0,0,Bureaucratic_Code_4,12/14/2015,India,Account_Name_1732,Opportunity_Name_11272,Person_Name_60,Person_Name_60,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_1,None,Person_Name_49,Product_Family_115,Product_Name_192,USD,0.56,,0.56,2016 - 1,Q1,2016,0.0,USD,3920.0,USD,3920.0,Prod_Category_A_None,287,270,2016,348,2015-12-14,31.0,2016.0,10,2016,31.0,2016.0,1
30,30,1,EMEA,UAE (Dubai),1,1,0,0,Bureaucratic_Code_5,12/8/2015,United Arab Emirates,Account_Name_583,Opportunity_Name_3913,Person_Name_39,Person_Name_39,None,Opportunity_Type_1,Non Binding,Delivery_Terms_1,None,Person_Name_39,Product_Family_101,Product_Name_143,USD,0.57,,0.57,2016 - 4,Q2,2016,0.0,USD,7695.0,USD,7695.0,Prod_Category_A_None,392,9,2017,348,2015-12-14,31.0,2016.0,93,2016,182.0,2016.0,0
31,31,2,EMEA,Germany,1,1,1,0,Bureaucratic_Code_4,12/20/2013,Germany,Account_Name_606,Opportunity_Name_4536,Person_Name_13,Person_Name_13,Account_Type_5,Opportunity_Type_19,Non Binding,Delivery_Terms_2,None,Person_Name_13,Product_Family_77,Product_Name_98,EUR,0.49,,0.55424,2016 - 5,Q2,2016,20.0,EUR,19874400.0,EUREUR,39748800.0,Prod_Category_A_None,7,356,2015,349,2015-12-15,357.0,2015.0,123,2016,182.0,2016.0,1
32,32,1,EMEA,Greece,1,0,0,0,Bureaucratic_Code_4,7/27/2013,Greece,Account_Name_1511,Opportunity_Name_557,Person_Name_39,Person_Name_23,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_23,Product_Family_77,Product_Name_96,EUR,0.51,,0.57686,2016 - 2,Q1,2016,1.0,EUR,510510.0,EUR,510510.0,Prod_Category_A_None,97,81,2016,349,2015-12-15,15.0,2016.0,53,2016,64.0,2016.0,0
33,33,1,EMEA,United Kingdom,0,0,0,0,Bureaucratic_Code_4,7/27/2013,United Kingdom,Account_Name_1108,Opportunity_Name_6359,Person_Name_18,Person_Name_18,Account_Type_0,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_39,Product_Family_77,Product_Name_100,EUR,0.54,,0.6107899999999999,2016 - 1,Q1,2016,0.0,EUR,105300.0,EUR,105300.0,Prod_Category_A_None,393,12,2017,350,2015-12-16,352.0,2015.0,19,2016,22.0,2016.0,0
34,34,1,EMEA,Switzerland,0,0,0,0,Bureaucratic_Code_4,7/20/2015,Switzerland,Account_Name_1459,Opportunity_Name_4755,Person_Name_13,Person_Name_13,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_13,Product_Family_85,Product_Name_107,EUR,0.54,,0.6107899999999999,2016 - 3,Q1,2016,1.0,EUR,364905.0,EUR,364905.0,Prod_Category_A_None,68,53,2016,350,2015-12-16,50.0,2016.0,61,2016,90.0,2016.0,1
35,35,1,EMEA,Germany,1,1,0,0,Bureaucratic_Code_5,12/4/2015,Germany,Account_Name_586,Opportunity_Name_4489,Person_Name_13,Person_Name_13,Account_Type_2,Opportunity_Type_19,Non Binding,Delivery_Terms_2,None,Person_Name_13,Product_Family_100,Product_Name_130,EUR,0.34,,0.38456999999999997,2018 - 4,Q2,2018,17.0,EUR,5618160.0,EUR,5618160.0,Prod_Category_A_None,737,356,2017,350,2015-12-16,,,92,2018,166.0,2018.0,0
36,36,3,EMEA,Austria,0,0,0,0,Bureaucratic_Code_4,12/17/2015,Austria,Account_Name_686,Opportunity_Name_4090,Person_Name_13,Person_Name_13,Account_Type_0,Opportunity_Type_7,Non Binding,Delivery_Terms_2,None,Person_Name_13,Product_Family_77,Product_Name_100,EUR,0.54,,0.6107899999999999,2016 - 1,Q1,2016,0.0,EUR,103950.0,EUREUREUR,311850.0,Prod_Category_A_None,29,15,2016,351,2015-12-17,29.0,2016.0,18,2016,57.0,2016.0,1
37,37,5,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_6590,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_6,Product_Name_6,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,599880.0,JPYJPYJPYJPYJPY,2999400.0,Prod_Category_A_None,22,8,2016,351,2015-12-17,,,60,2016,60.0,2016.0,0
38,38,6,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_6788,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_0,Product_Name_0,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,1154600.0,JPYJPYJPYJPYJPYJPY,6927600.0,Prod_Category_A_None,110,96,2016,351,2015-12-17,,,60,2016,60.0,2016.0,0
39,39,5,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_6589,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_6,Product_Name_6,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,571800.0,JPYJPYJPYJPYJPY,2859000.0,Prod_Category_A_None,22,8,2016,351,2015-12-17,,,60,2016,60.0,2016.0,0
40,40,6,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_6022,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_0,Product_Name_0,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,1033200.0,JPYJPYJPYJPYJPYJPY,6199200.0,Prod_Category_A_None,110,96,2016,351,2015-12-17,,,60,2016,60.0,2016.0,0
41,41,1,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_11678,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_77,Product_Name_100,JPY,0.0,,0.0,2016 - 2,Q1,2016,0.0,JPY,20280.0,JPY,20280.0,Prod_Category_A_None,223,209,2016,351,2015-12-17,,,60,2016,60.0,2016.0,0
42,42,6,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_11774,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_0,Product_Name_0,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,1033200.0,JPYJPYJPYJPYJPYJPY,6199200.0,Prod_Category_A_None,223,209,2016,351,2015-12-17,,,60,2016,60.0,2016.0,0
43,43,7,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_11773,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_0,Product_Name_0,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,1142120.0,JPYJPYJPYJPYJPYJPYJPY,7994840.0,Prod_Category_A_None,223,209,2016,351,2015-12-17,,,60,2016,60.0,2016.0,0
44,44,5,Japan,None,1,0,0,0,Bureaucratic_Code_5,4/20/2015,Japan,Account_Name_1888,Opportunity_Name_5715,Person_Name_50,Person_Name_50,Account_Type_2,Opportunity_Type_7,Non Binding,Delivery_Terms_4,None,Person_Name_50,Product_Family_6,Product_Name_6,JPY,78.0,,0.70125,2016 - 2,Q1,2016,0.0,JPY,470400.0,JPYJPYJPYJPYJPY,2352000.0,Prod_Category_A_None,110,96,2016,351,2015-12-17,,,60,2016,60.0,2016.0,0
45,45,1,EMEA,Germany,1,1,1,0,Bureaucratic_Code_4,12/15/2015,Germany,Account_Name_2000,Opportunity_Name_777,Person_Name_13,Person_Name_13,Account_Type_5,Opportunity_Type_19,Non Binding,Delivery_Terms_2,None,Person_Name_13,Product_Family_77,Product_Name_98,EUR,0.49,,0.55424,2016 - 5,Q2,2016,20.0,EUR,9809800.0,EUR,9809800.0,Prod_Category_A_None,113,99,2016,351,2015-12-17,92.0,2016.0,122,2016,182.0,2016.0,0
46,46,2,EMEA,United Kingdom,1,1,1,0,Bureaucratic_Code_4,9/5/2013,United Kingdom,Account_Name_187,Opportunity_Name_2066,Person_Name_18,Person_Name_18,Account_Type_5,Opportunity_Type_19,Non Binding,Delivery_Terms_2,None,Person_Name_39,Product_Family_85,Product_Name_110,EUR,0.5,,0.56555,2016 - 3,Q1,2016,2.0,EUR,2106750.0,EUREUR,4213500.0,Prod_Category_A_None,391,12,2017,352,2015-12-18,19.0,2016.0,67,2016,75.0,2016.0,1
47,47,1,Americas,NE America,1,1,1,0,Bureaucratic_Code_4,12/18/2015,United States,Account_Name_217,Opportunity_Name_2683,Person_Name_3,Person_Name_3,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_4,None,Person_Name_3,Product_Family_158,Product_Name_284,USD,0.66,,0.66,2016 - 5,Q2,2016,1.0,USD,629145.0,USD,0.0,Prod_Category_A_None,286,273,2016,352,2015-12-18,22.0,2016.0,137,2016,141.0,2016.0,0
48,49,1,APAC,India,1,0,0,0,Bureaucratic_Code_4,9/9/2014,Sri Lanka,Account_Name_828,Opportunity_Name_5410,Person_Name_49,Person_Name_49,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_1,None,Person_Name_49,Product_Family_115,Product_Name_192,USD,0.56,,0.56,2016 - 2,Q1,2016,0.0,USD,109760.0,USD,109760.0,Prod_Category_A_None,33,20,2016,352,2015-12-18,91.0,2016.0,39,2016,51.0,2016.0,1
49,50,1,EMEA,Belgium,1,0,0,0,Bureaucratic_Code_5,2/25/2014,Belgium,Account_Name_825,Opportunity_Name_5376,Person_Name_18,Person_Name_18,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_18,Product_Family_77,Product_Name_96,EUR,0.52,,0.58817,2016 - 6,Q2,2016,1.0,EUR,304200.0,EUR,304200.0,Prod_Category_A_None,182,169,2016,352,2015-12-18,121.0,2016.0,153,2016,182.0,2016.0,0
50,51,1,EMEA,None,1,1,0,0,Bureaucratic_Code_5,2/25/2014,Belgium,Account_Name_825,Opportunity_Name_5377,Person_Name_18,Person_Name_23,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_2,None,Person_Name_23,Product_Family_116,Product_Name_163,EUR,0.55,,0.6221,2016 - 6,Q2,2016,1.0,EUR,500500.0,EUR,500500.0,Prod_Category_A_None,115,102,2016,352,2015-12-18,30.0,2016.0,153,2016,182.0,2016.0,0
51,52,1,APAC,India,1,0,0,0,Bureaucratic_Code_4,7/28/2013,India,Account_Name_71,Opportunity_Name_2182,Person_Name_49,Person_Name_49,Account_Type_2,Opportunity_Type_1,Non Binding,Delivery_Terms_1,None,Person_Name_49,Product_Family_77,Product_Name_100,USD,0.54,,0.54,2016 - 2,Q1,2016,0.0,USD,17550.0,USD,17550.0,Prod_Category_A_None,101,90,2016,354,2015-12-20,91.0,2016.0,32,2016,46.0,2016.0,0
